Time resolution is 1 ps
Block Memory Generator module tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_9 collision detected at time: 1815000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 59, B read address: 59
blk_mem_gen_v8_4_9 collision detected at time: 1835000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 5a, B read address: 5a
blk_mem_gen_v8_4_9 collision detected at time: 1855000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 5b, B read address: 5b
blk_mem_gen_v8_4_9 collision detected at time: 1875000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 5c, B read address: 5c
blk_mem_gen_v8_4_9 collision detected at time: 1895000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 5d, B read address: 5d
blk_mem_gen_v8_4_9 collision detected at time: 1915000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 5e, B read address: 5e
blk_mem_gen_v8_4_9 collision detected at time: 1935000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 5f, B read address: 5f
blk_mem_gen_v8_4_9 collision detected at time: 1955000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 60, B read address: 60
blk_mem_gen_v8_4_9 collision detected at time: 1975000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 61, B read address: 61
blk_mem_gen_v8_4_9 collision detected at time: 1995000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 62, B read address: 62
blk_mem_gen_v8_4_9 collision detected at time: 2015000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 63, B read address: 63
blk_mem_gen_v8_4_9 collision detected at time: 2035000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 64, B read address: 64
blk_mem_gen_v8_4_9 collision detected at time: 2055000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 65, B read address: 65
blk_mem_gen_v8_4_9 collision detected at time: 2075000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 66, B read address: 66
blk_mem_gen_v8_4_9 collision detected at time: 2095000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 67, B read address: 67
blk_mem_gen_v8_4_9 collision detected at time: 2115000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 68, B read address: 68
blk_mem_gen_v8_4_9 collision detected at time: 2135000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 69, B read address: 69
blk_mem_gen_v8_4_9 collision detected at time: 2155000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 6a, B read address: 6a
blk_mem_gen_v8_4_9 collision detected at time: 2175000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 6b, B read address: 6b
blk_mem_gen_v8_4_9 collision detected at time: 2195000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 6c, B read address: 6c
blk_mem_gen_v8_4_9 collision detected at time: 2215000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 6d, B read address: 6d
